Eruption period	Comment	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total
Oct.14	HB_9_cpx4_4 	50.31	0.9382	3.93	7.69	0.1845	15.31	19.17	0.2474	0.1075	0.0078	97.8954
Oct.14	HB_9_cpx4_5 	50.36	0.9504	3.98	7.81	0.2024	15.33	19.07	0.254	0.0907	0.015	98.0625
Oct.14	HB_9_cpx4_6 	50.45	0.9593	4	7.83	0.1943	15.37	19.23	0.2583	0.1136	0.0167	98.4222
Oct.14	HB_9_cpx4_7 	50.66	0.8865	3.66	7.63	0.1928	15.49	19.49	0.2598	0.1175	0.0149	98.4015
Oct.14	HB_9_cpx4_8 	51.5	0.771	3.38	7.36	0.1865	15.64	19.54	0.2195	0.1474	0.0086	98.753
Oct.14	HB_9_cpx4_9 	52.02	0.6934	2.06	8.5	0.2156	15.38	19.51	0.2061	0.0724	0.0373	98.6948
Oct.14	HB_9_cpx4_10 	52.92	0.4282	2.01	7.96	0.2205	18.49	15.95	0.1606	0.1661	0.0202	98.3256
Oct.14	HB9_cpx5_1 	53	0.4257	1.96	7.78	0.2469	18.42	16.13	0.1761	0.1528	0.0167	98.3082
Oct.14	HB9_cpx5_2 	50.99	0.9463	4.16	7.5	0.2011	15.79	18.59	0.2398	0.18	0.006	98.6032
Oct.14	HB9_cpx5_3 	50.96	0.8164	3.85	7.34	0.1827	15.66	19.15	0.2125	0.1121	0.011	98.2947
Oct.14	HB9_cpx5_4 	50.49	0.9371	4.05	7.53	0.1688	15.53	19.18	0.2473	0.1449	0.0313	98.3094
Oct.14	HB9_cpx5_5 	50.86	0.8548	3.74	7.35	0.1747	15.68	19.01	0.2516	0.1255	0.0235	98.0701
Oct.14	HB9_cpx5_6 	50.8	0.7859	3.63	7.17	0.2022	15.74	19.09	0.2465	0.1542	0.0097	97.8285
Oct.14	HB9_cpx5_7 	50.87	0.7656	3.65	6.87	0.1838	15.85	19.26	0.2189	0.2515	0.0333	97.9531
